,,gold,,,,3refs,,,,8refs,,,,7refs,,,,4refs,,,,1refs,,,,2refs,,,,6refs,,,,5refs,
words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by
8,2,0.996358543417367,ORDERED with align,38,2,0.49999999999999994,ORDERED with align,35,5,0.14705882352941177,ORDERED with align,38,2,0.2571428571428572,ORDERED with align,35,5,0.14705882352941177,ORDERED with align,38,2,0.49999999999999994,ORDERED with align,38,2,0.49999999999999994,ORDERED with align,35,5,0.14705882352941177,ORDERED with align,38,2,0.2571428571428572,ORDERED with align
4,0,1.0,ORDERED with align,15,2,0.7333333333333334,ORDERED with align,17,2,-0.09999999999999999,ORDERED with align,17,2,-0.09999999999999999,ORDERED with align,15,2,0.7333333333333334,ORDERED with align,17,2,-0.09999999999999999,ORDERED with align,15,2,0.7333333333333334,ORDERED with align,17,9,0.44117647058823534,ORDERED with align,17,2,-0.09999999999999999,ORDERED with align
6,1,0.9411764705882353,ORDERED with align,22,2,-0.09999999999999999,ORDERED with align,7,0,1.0,ORDERED with align,7,0,1.0,ORDERED with align,22,2,-0.09999999999999999,ORDERED with align,20,3,0.8666666666666667,ORDERED with align,22,2,-0.09999999999999999,ORDERED with align,22,2,-0.09999999999999999,ORDERED with align,20,3,0.8666666666666667,ORDERED with align
6,3,-0.33333333333333337,ORDERED with align,20,8,0.02280701754385965,ORDERED with align,18,4,0.16363636363636364,ORDERED with align,18,4,0.16363636363636364,ORDERED with align,26,8,0.20526315789473687,ORDERED with align,20,8,0.02280701754385965,ORDERED with align,17,7,0.09705882352941177,ORDERED with align,18,4,0.16363636363636364,ORDERED with align,17,7,0.09705882352941177,ORDERED with align
2,0,0.9999999999999999,ORDERED with align,32,10,0.42,ORDERED with align,29,4,0.1785714285714286,ORDERED with align,29,4,0.1785714285714286,ORDERED with align,31,5,0.7272727272727274,ORDERED with align,32,10,0.42,ORDERED with align,29,6,0.19411764705882353,ORDERED with align,29,4,0.1785714285714286,ORDERED with align,32,10,0.42,ORDERED with align
4,3,-0.6454545454545455,ORDERED with align,18,8,-0.04615384615384615,ORDERED with align,28,6,0.7132867132867133,ORDERED with align,28,6,0.7132867132867133,ORDERED with align,18,8,-0.04615384615384615,ORDERED with align,18,8,-0.04615384615384615,ORDERED with align,15,3,-0.642857142857143,ORDERED with align,28,6,0.7132867132867133,ORDERED with align,13,4,0.19047619047619052,ORDERED with align
0,0,1.0,ORDERED with align,8,5,0.09523809523809526,ORDERED with align,8,5,0.09523809523809526,ORDERED with align,8,5,0.09523809523809526,ORDERED with align,8,5,0.09523809523809526,ORDERED with align,8,5,0.09523809523809526,ORDERED with align,28,3,0.31666666666666665,ORDERED with align,8,5,0.09523809523809526,ORDERED with align,8,5,0.09523809523809526,ORDERED with align
3,2,0.9597402597402598,ORDERED with align,25,4,0.01818181818181818,ORDERED with align,25,10,-0.04912280701754386,ORDERED with align,20,4,-0.16666666666666669,ORDERED with align,20,4,-0.16666666666666669,ORDERED with align,21,2,0.18333333333333335,ORDERED with align,25,10,-0.04912280701754386,ORDERED with align,25,10,-0.04912280701754386,ORDERED with align,25,10,-0.04912280701754386,ORDERED with align
2,2,0.8870694522868439,ORDERED with align,18,5,0.28181818181818186,ORDERED with align,18,5,0.28181818181818186,ORDERED with align,21,5,-0.05454545454545454,ORDERED with align,24,9,0.5459236326109391,ORDERED with align,18,5,0.28181818181818186,ORDERED with align,21,5,-0.05454545454545454,ORDERED with align,18,5,0.28181818181818186,ORDERED with align,18,5,0.28181818181818186,ORDERED with align
2,0,1.0,ORDERED with align,24,2,0.6071428571428572,ORDERED with align,8,3,0.7696969696969697,ORDERED with align,24,2,0.6071428571428572,ORDERED with align,8,3,0.7696969696969697,ORDERED with align,24,2,0.6071428571428572,ORDERED with align,1,0,1.0,ORDERED with align,8,3,0.7696969696969697,ORDERED with align,9,5,0.4727272727272727,ORDERED with align
