,,5refs,,,,2refs,,,,1refs,,,,gold,,,,6refs,,,,8refs,,,,7refs,,,,4refs,,,,3refs,
words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by
1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,5,3,0.9235294117647058,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,8,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
2,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,5,1,0.9964285714285712,ORDERED with align,2,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,11,3,0.6428571428571429,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,8,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,4,1,0.6470588235294118,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
5,0,1.0,ORDERED with align,5,0,1.0,ORDERED with align,4,1,0.9901520954152532,ORDERED with align,8,2,0.996358543417367,ORDERED with align,5,0,1.0,ORDERED with align,4,2,0.9949392712550609,ORDERED with align,4,2,0.9949392712550609,ORDERED with align,5,0,1.0,ORDERED with align,4,2,0.9949392712550609,ORDERED with align
0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,6,1,0.9411764705882353,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
