,,4refs,,,,2refs,,,,8refs,,,,5refs,,,,3refs,,,,1refs,,,,gold,,,,7refs,,,,6refs,
words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by
2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,6,1,0.9566563467492261,ORDERED with align,3,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
3,0,1.0,ORDERED with align,4,2,0.9458646616541352,ORDERED with align,2,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,4,1,0.9210526315789472,ORDERED with align,7,2,0.9921763869132288,ORDERED with align,3,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align
3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,10,5,0.2,ORDERED with align,3,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align
2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,12,8,0.42280701754385963,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align
3,1,0.9729064039408865,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,6,5,0.7849624060150376,ORDERED with align,3,1,0.9729064039408865,ORDERED with align,3,1,0.9729064039408865,ORDERED with align
1,0,0.9999999999999998,ORDERED with align,1,0,0.9999999999999998,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,0,0,0.9999999999999998,ORDERED with align,1,0,0.9999999999999998,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,0,0,0.9999999999999998,ORDERED with align,0,0,0.9999999999999998,ORDERED with align
2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align
6,0,0.9999999999999999,ORDERED with align,6,0,0.9999999999999999,ORDERED with align,6,0,0.9999999999999999,ORDERED with align,6,0,0.9999999999999999,ORDERED with align,6,0,0.9999999999999999,ORDERED with align,3,0,1.0,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,6,0,0.9999999999999999,ORDERED with align,6,0,0.9999999999999999,ORDERED with align
1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,3,0,0.9999999999999999,ORDERED with align,0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,15,5,0.625974025974026,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,3,2,0.8870694522868439,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align
