,,5refs,,,,1refs,,,,8refs,,,,2refs,,,,6refs,,,,3refs,,,,4refs,,,,gold,,,,7refs,
words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by
21,4,0.31666666666666665,ORDERED with align,21,4,0.31666666666666665,ORDERED with align,21,4,0.31666666666666665,ORDERED with align,21,4,0.31666666666666665,ORDERED with align,21,5,0.41666666666666663,ORDERED with align,21,5,0.41666666666666663,ORDERED with align,21,4,0.31666666666666665,ORDERED with align,2,1,0.9878787878787878,ORDERED with align,21,4,0.31666666666666665,ORDERED with align
19,4,0.4761904761904762,ORDERED with align,22,5,0.5035714285714286,ORDERED with align,22,5,0.5035714285714286,ORDERED with align,19,4,0.4761904761904762,ORDERED with align,19,4,0.4761904761904762,ORDERED with align,2,0,1.0,ORDERED with align,19,4,0.4761904761904762,ORDERED with align,9,3,0.8321428571428571,ORDERED with align,19,4,0.4761904761904762,ORDERED with align
2,0,1.0,ORDERED with align,16,3,0.6333333333333333,ORDERED with align,24,3,0.4175824175824176,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,16,3,0.6333333333333333,ORDERED with align,2,0,1.0,ORDERED with align,5,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align
21,8,0.38421052631578945,ORDERED with align,21,8,0.38421052631578945,ORDERED with align,22,3,0.5952380952380953,ORDERED with align,21,8,0.38421052631578945,ORDERED with align,21,8,0.38421052631578945,ORDERED with align,23,7,0.6764705882352942,ORDERED with align,21,8,0.38421052631578945,ORDERED with align,7,3,0.9454545454545454,ORDERED with align,21,8,0.38421052631578945,ORDERED with align
7,4,0.3571428571428572,ORDERED with align,7,4,0.3571428571428572,ORDERED with align,7,4,0.3571428571428572,ORDERED with align,7,4,0.3571428571428572,ORDERED with align,7,4,0.3571428571428572,ORDERED with align,7,4,0.3571428571428572,ORDERED with align,7,4,0.3571428571428572,ORDERED with align,4,0,1.0,ORDERED with align,7,4,0.3571428571428572,ORDERED with align
33,9,0.5622529644268774,ORDERED with align,33,9,0.5622529644268774,ORDERED with align,33,9,0.5622529644268774,ORDERED with align,33,9,0.5622529644268774,ORDERED with align,33,9,0.5622529644268774,ORDERED with align,33,9,0.5622529644268774,ORDERED with align,33,9,0.5622529644268774,ORDERED with align,5,1,0.9488636363636365,ORDERED with align,33,9,0.5622529644268774,ORDERED with align
29,9,0.6090225563909774,ORDERED with align,29,9,0.6090225563909774,ORDERED with align,29,9,0.6090225563909774,ORDERED with align,29,9,0.6090225563909774,ORDERED with align,29,9,0.6090225563909774,ORDERED with align,29,9,0.6090225563909774,ORDERED with align,3,1,0.9939516129032261,ORDERED with align,12,8,0.9590964590964591,ORDERED with align,29,9,0.6090225563909774,ORDERED with align
25,9,0.5025974025974026,ORDERED with align,25,9,0.5025974025974026,ORDERED with align,25,9,0.5025974025974026,ORDERED with align,25,9,0.5025974025974026,ORDERED with align,25,9,0.5025974025974026,ORDERED with align,25,9,0.5025974025974026,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,25,9,0.5025974025974026,ORDERED with align
18,2,0.5357142857142858,ORDERED with align,18,2,0.5357142857142858,ORDERED with align,18,2,0.5357142857142858,ORDERED with align,18,2,0.5357142857142858,ORDERED with align,18,2,0.5357142857142858,ORDERED with align,18,2,0.5357142857142858,ORDERED with align,18,2,0.5357142857142858,ORDERED with align,4,1,0.39999999999999997,ORDERED with align,18,2,0.5357142857142858,ORDERED with align
20,7,0.7392857142857142,ORDERED with align,20,7,0.7392857142857142,ORDERED with align,20,7,0.7392857142857142,ORDERED with align,20,7,0.7392857142857142,ORDERED with align,20,7,0.7392857142857142,ORDERED with align,20,7,0.7392857142857142,ORDERED with align,31,10,0.012280701754385965,ORDERED with align,4,1,0.9979360165118679,ORDERED with align,31,10,0.02456140350877193,ORDERED with align
